sample_id/nwd_id	lane_barcode	hgsc_xfer_subdir	batch	run_name	current_cram_name	new_cram_name	result_path	cram_path
NWD702328	HGH3HCCXY-2	TMSOL	TMSOL_batch24a	171215_E00253_0617_BHGH3HCCXY_2	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-2	#N/A
NWD555355	HGJHCCCXY-5	TMSOL	TMSOL_batch24a	171215_E00380_0517_AHGJHCCCXY_5	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-5	#N/A
NWD599383	HGH3HCCXY-7	TMSOL	TMSOL_batch24a	171215_E00253_0617_BHGH3HCCXY_7	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-7	#N/A
NWD641808	HGH3HCCXY-8	TMSOL	TMSOL_batch24a	171215_E00253_0617_BHGH3HCCXY_8	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-8	#N/A
NWD237262	HGH3HCCXY-4	TMSOL	TMSOL_batch24a	171215_E00253_0617_BHGH3HCCXY_4	#N/A	#N/A	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-4	#N/A
NWD595869	HGJHCCCXY-6	TMSOL	TMSOL_batch24a	171215_E00380_0517_AHGJHCCCXY_6	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-6	#N/A
NWD924834	HGHJLCCXY-2	TMSOL	TMSOL_batch24a	171216_ST-E00212_0656_AHGHJLCCXY_2	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-2	#N/A
NWD483894	HGHJLCCXY-1	TMSOL	TMSOL_batch24a	171216_ST-E00212_0656_AHGHJLCCXY_1	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-1	#N/A
NWD610825	HGHTFCCXY-5	TMSOL	TMSOL_batch24a	171215_E00380_0518_BHGHTFCCXY_5	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-5	#N/A
NWD709734	HGJHCCCXY-8	TMSOL	TMSOL_batch24a	171215_E00380_0517_AHGJHCCCXY_8	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-8	#N/A
NWD611953	HGHTFCCXY-6	TMSOL	TMSOL_batch24a	171215_E00380_0518_BHGHTFCCXY_6	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-6	#N/A
NWD718902	HGHTFCCXY-8	TMSOL	TMSOL_batch24a	171215_E00380_0518_BHGHTFCCXY_8	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-8	#N/A
NWD517864	HGHJLCCXY-3	TMSOL	TMSOL_batch24a	171216_ST-E00212_0656_AHGHJLCCXY_3	#N/A	#N/A	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-3	#N/A
NWD551115	HGHTFCCXY-4	TMSOL	TMSOL_batch24a	171215_E00380_0518_BHGHTFCCXY_4	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-4	#N/A
NWD723738	HGHTFCCXY-2	TMSOL	TMSOL_batch24a	171215_E00380_0518_BHGHTFCCXY_2	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-2	#N/A
NWD257871	HGHTFCCXY-1	TMSOL	TMSOL_batch24a	171215_E00380_0518_BHGHTFCCXY_1	#N/A	#N/A	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-1	#N/A
