lane_barcode	hgsc_xfer_subdir	batch	sample_id_nwd_id	run_name	current_cram_name	new_cram_name	result_path	cram_path
HGH3HCCXY-2	TMSOL	TMSOL_batch24a	NWD702328	171215_E00253_0617_BHGH3HCCXY_2	HGH3HCCXY-2.hgv.cram	NWD702328-HGH3HCCXY-2.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-2	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-2/HGH3HCCXY-2.hgv.cram
HGJHCCCXY-5	TMSOL	TMSOL_batch24a	NWD555355	171215_E00380_0517_AHGJHCCCXY_5	HGJHCCCXY-5.hgv.cram	NWD555355-HGJHCCCXY-5.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-5	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-5/HGJHCCCXY-5.hgv.cram
HGH3HCCXY-7	TMSOL	TMSOL_batch24a	NWD599383	171215_E00253_0617_BHGH3HCCXY_7	HGH3HCCXY-7.hgv.cram	NWD599383-HGH3HCCXY-7.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-7	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-7/HGH3HCCXY-7.hgv.cram
HGH3HCCXY-8	TMSOL	TMSOL_batch24a	NWD641808	171215_E00253_0617_BHGH3HCCXY_8	HGH3HCCXY-8.hgv.cram	NWD641808-HGH3HCCXY-8.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-8	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-8/HGH3HCCXY-8.hgv.cram
HGH3HCCXY-4	TMSOL	TMSOL_batch24a	NWD237262	171215_E00253_0617_BHGH3HCCXY_4	HGH3HCCXY-4.hgv.cram	NWD237262-HGH3HCCXY-4.hgv.cram	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-4	/stornext/snfs100/next-gen/Illumina/Instruments/E00253/171215_E00253_0617_BHGH3HCCXY/Results/Project_HGH3HCCXY/Sample_HGH3HCCXY-4/HGH3HCCXY-4.hgv.cram
HGJHCCCXY-6	TMSOL	TMSOL_batch24a	NWD595869	171215_E00380_0517_AHGJHCCCXY_6	HGJHCCCXY-6.hgv.cram	NWD595869-HGJHCCCXY-6.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-6	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-6/HGJHCCCXY-6.hgv.cram
HGHJLCCXY-2	TMSOL	TMSOL_batch24a	NWD924834	171216_ST-E00212_0656_AHGHJLCCXY_2	HGHJLCCXY-2.hgv.cram	NWD924834-HGHJLCCXY-2.hgv.cram	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-2	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-2/HGHJLCCXY-2.hgv.cram
HGHJLCCXY-1	TMSOL	TMSOL_batch24a	NWD483894	171216_ST-E00212_0656_AHGHJLCCXY_1	HGHJLCCXY-1.hgv.cram	NWD483894-HGHJLCCXY-1.hgv.cram	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-1	/stornext/snfs160/next-gen/Illumina/Instruments/E00212/171216_ST-E00212_0656_AHGHJLCCXY/Results/Project_HGHJLCCXY/Sample_HGHJLCCXY-1/HGHJLCCXY-1.hgv.cram
HGHTFCCXY-5	TMSOL	TMSOL_batch24a	NWD610825	171215_E00380_0518_BHGHTFCCXY_5	HGHTFCCXY-5.hgv.cram	NWD610825-HGHTFCCXY-5.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-5	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0518_BHGHTFCCXY/Results/Project_HGHTFCCXY/Sample_HGHTFCCXY-5/HGHTFCCXY-5.hgv.cram
HGJHCCCXY-8	TMSOL	TMSOL_batch24a	NWD709734	171215_E00380_0517_AHGJHCCCXY_8	HGJHCCCXY-8.hgv.cram	NWD709734-HGJHCCCXY-8.hgv.cram	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-8	/stornext/snfs130/next-gen/Illumina/Instruments/E00380/171215_E00380_0517_AHGJHCCCXY/Results/Project_HGJHCCCXY/Sample_HGJHCCCXY-8/HGJHCCCXY-8.hgv.cram
